1.Ed Sheeran 53.4M 0
2.Camilla Cabello 42.0M 0
3.Post Malone 39.6M 0
4.Eminem 38.3M +1
5.Maroon5 37.5M -1
6.Sia 35.6M +1
7.Daddy Yankee 35.4M +8
8.Beyonce 35.3M -2
9.J.Balvin 35.3M +3
10.Dua Lipa 35.0M +4
11.Selena Gomez 34.8M -3
12.Demi Lovato 34.7M +1
13.Sam Smith 34.5M -4
14.Coldplay 34.4M -4
15.Marshmello 33.6M +1
16.Luis Fonsi 33.6M +1
17.Mariah Carey 33.4M -9
18.Imagine Dragons 32.3M +1
19.Justin Bieber  30.8M -1
20.Khalid 30.7M +1
21.David Guetta 30.5M +2
22.Rihanna 30.0M +2
23.Charlie Puth 29.8M -1
24.Ariana Grande 29.6M -4
25.G-Eazy 29.4M +1
26.Kygo 28.5M -1
27.Drake 28.5M 0
28.Chainsmokers 28.5M +2
29.Calvin Harris 27.6M +6
30.Nicki Minaj 27.2M -1
31.Taylor Swift 26.9M +1
32.Clean Bandit 26.8M -1
33.ZAYN 26.7M -5
34.Bebe Rexha 26.1M -1
35.French Montana 25.8M 0
36.Future 25.6M +3
37.Kendrick Lamar 25.3M +1
38.Bruno Mars 24.7M +4
39.Halsey 24.5M +2
40.The Weekend 24.3M 0
41.Major Lazer  23.9M +4
42.Jason Derulo 23.7M +1
43.Wham! 23.4M -7
44.Martin Garix 23.2M +4
45.Michael Buble 23.1M -8
46.Avicii 23.0M -2
47.Shakira 22.9M 0
48.Hailee Steinfeld 22.7M -2
49.Kanye West 22.3M 0
50.Lil Wayne 21.9M +4
51.Alesso 21.9M -1
52.Julia Michaels 21.8M -1
53.21 Savage 21.6M +3
54.Ty Dolla Sign 21.5M +3
55.Bad Bunny 21.3M 0
56.Willy William 21.2M +4
57.Shawn Mendes 21.0M +1
58.Lil Pump 21.0M -5
59.Chris Brown 21.0M -7
60.NF 20.0M +1
61.Migos 19.8M +3
62.Queen 19.8M +3
63.Lil Uzi Vert  19.5M -1
64.Maluma 19.5M +4
65.DJ Khaled 19.5M +4
66.Frank Sinatra 19.4M -8
67.Ozuna 19.4M 0
68.Miley Cyrus 19.1M -7
69.DJ Snake 18.7M -3
70.Travis Scott  18.2M +7
71.Katy Perry 18.2M +4
72.James Arthur 18.2M -1
73.Wiz Khalifa 18.0M -1
74.P!nk 18.0M +2
75.Metro Boomin 17.9M -2
76.Michael Jackson 17.7M +13
77.Cheat Codes 17.4M +5
78.Logic 17.3M +2
79.Alan Walker 17.3M +4
80.Adele 17.3M +1
81.Lauv 17.2M -7
82.Elvis Presley 17.2M -12
83.Cardi B 17.1M +14
84.Anitta 16.9M +1
85.BigSean 16.8M +1
86.Kodak Black 16.6M +4
87.One Republic 16.5M +1
88.Kelly Clarkson 16.4M -9
89.5th Harmony 16.4M 0
90.Rita Ora 16.3M -3
91.Prince Royce  16.1M 0
92.Pitbull 16.0M +1
93.Bing Crosby 16.0M -15
94.Alessia Cara 16.0M +1
95.Linkin Park 15.6M -3
96.Justin Timberlake 15.6M +new
97.Jonas Blue 15.4M +new
98.Florida Georgia Line 15.2M 0
99.Britney Spears 15.1M 0
100.Little Mix 15.0M +new
